"","Sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","Population","Cohort","X1.x","X2.x","X1.y","X2.y"
"642","HG00096",-0.016732924632302,-0.00405316170753778,-0.0111778268883,0.00101987212617197,-0.027403669446779,0.000422007135834223,0.00612843386653093,"GBR","EUR",2.19838686549745,-3.2046665752799,2.19838686549745,-3.2046665752799
"643","HG00097",-0.0167436354890631,-0.00232451730440821,-0.00996970002343954,-0.00456724806048676,-0.0248965028566199,0.0304440582302924,-0.025115462603164,"GBR","EUR",1.39397655832626,-3.02391484175942,1.39397655832626,-3.02391484175942
"644","HG00099",-0.0168925927116034,-0.000224661777943554,-0.00912534118422967,-0.00212350958208075,-0.02614844165832,-0.0236440910849717,-0.027021154591659,"GBR","EUR",0.334749208946136,-2.69417519621507,0.334749208946136,-2.69417519621507
"645","HG00100",-0.016739362583825,-0.00170712946760025,-0.0189304587727693,-0.00487948715022898,-0.0205219103390322,-0.0222195388234743,-0.0279696721734635,"GBR","EUR",1.0990037744197,-5.39605049732494,1.0990037744197,-5.39605049732494
"646","HG00101",-0.016995808043805,-0.00198618164693625,-0.00775041738844487,0.00297276700019152,-0.0207818775549274,0.00251989967161812,-0.00684047659549674,"GBR","EUR",1.23444046091106,-2.24322967715988,1.23444046091106,-2.24322967715988
"647","HG00102",-0.0166959643325198,-0.00174568776968177,-0.00755022569750746,0.00315847973434571,-0.0302208308677252,0.00100259585320604,-0.0204979436221838,"GBR","EUR",1.07777168475523,-2.40911958183111,1.07777168475523,-2.40911958183111
"648","HG00103",-0.0170070448248947,-0.00500058646130527,-0.00872973877301802,-0.00682874027932265,-0.0281570709144108,0.000732425407764915,0.00710079422840082,"GBR","EUR",2.81987599077257,-2.64400762693503,2.81987599077257,-2.64400762693503
"649","HG00105",-0.0171206781375386,-0.00109926617125953,-0.00629813384799523,0.000544293884174027,-0.0234983296871895,0.0037052838743626,-0.0263818743529118,"GBR","EUR",0.824128195546019,-1.84858589985575,0.824128195546019,-1.84858589985575
"650","HG00106",-0.0170141418082309,-0.00242141816748715,-0.00497929025756296,-0.00235597729103619,-0.0238590292549501,-0.00265481332095808,0.0294768290236955,"GBR","EUR",1.47434655870727,-1.56118136227963,1.47434655870727,-1.56118136227963
"651","HG00107",-0.0168242554980793,-0.00123290698111241,-0.00780853954771028,0.00475266581205453,-0.0259291270491005,0.0272441059958531,-0.0214825256146671,"GBR","EUR",0.748026766785036,-2.18574543848225,0.748026766785036,-2.18574543848225
"652","HG00108",-0.0169339504100478,-0.00125004518906145,-0.00891124611722078,0.000165502556244033,-0.0239933256141935,-0.0262602410968433,0.025058367318742,"GBR","EUR",0.885294183540772,-2.6704915129696,0.885294183540772,-2.6704915129696
"653","HG00109",-0.0165192597435912,-0.00260601325111776,-0.00838130001166832,0.0013637012732218,-0.0316856501576374,0.024760652007781,0.00396894901540615,"GBR","EUR",1.51461006178795,-2.7891364851369,1.51461006178795,-2.7891364851369
"654","HG00110",-0.0167439670265529,-0.0021369680564693,-0.00951495929955819,0.00138248104626739,-0.0247208143573705,0.00176855278470694,-0.0113507484161392,"GBR","EUR",1.24545369594373,-2.7864083865119,1.24545369594373,-2.7864083865119
"655","HG00111",-0.0168378073312704,-0.00111184491395795,-0.0112539061573801,0.00296535086477499,-0.0181561478094716,-0.0239266752768146,-0.0117284502499021,"GBR","EUR",0.795296867236878,-3.29432543311989,0.795296867236878,-3.29432543311989
"656","HG00112",-0.0169011235305024,-0.00374821220375403,-0.00858911601962588,-0.000121993169292567,-0.0185409099127226,0.000964359307793826,0.0312254165602287,"GBR","EUR",2.12704981761772,-2.53873249170948,2.12704981761772,-2.53873249170948
"657","HG00113",-0.016857615564498,-0.00381899979928775,-0.00619974285610537,-0.00356083435563726,-0.0237058227715118,0.00203961050253121,-0.0300582503247956,"GBR","EUR",2.18104201288564,-2.00952992232811,2.18104201288564,-2.00952992232811
"658","HG00114",-0.0166241487913579,-0.00321972430789578,-0.00350873544220973,0.00577741560857386,-0.0284428584847288,0.025503229382825,-0.00372275724085134,"GBR","EUR",1.76980607610378,-1.2877217736973,1.76980607610378,-1.2877217736973
"659","HG00115",-0.01685817552261,-0.00537618295124493,-0.00863253123388396,0.00426259795960161,-0.0267632651688307,-0.00183631087482687,0.0243577519435318,"GBR","EUR",2.96620096511792,-2.66693877999808,2.96620096511792,-2.66693877999808
"660","HG00116",-0.0165178050142488,-0.00238923429829302,-0.00414699187824468,0.00454861266817,-0.0281844717603325,-0.00122365506942607,0.00173549487726625,"GBR","EUR",1.3419393804039,-1.52361547637954,1.3419393804039,-1.52361547637954
"661","HG00117",-0.0166529005770958,-0.00496563093029413,-0.0065211177251553,-0.00214862786254282,-0.0145023890107685,0.0283772361713327,0.0340364349148361,"GBR","EUR",2.6154773090085,-1.88462436753753,2.6154773090085,-1.88462436753753
"662","HG00118",-0.0166691635343406,-0.00250233025422867,-0.00477971271042458,0.00372577173964793,-0.0211091386662781,-0.000875419281149029,-0.0100084386063129,"GBR","EUR",1.42201919030709,-1.58209609551679,1.42201919030709,-1.58209609551679
"663","HG00119",-0.0167276724644595,-0.0013289024378054,-0.00468922449762877,0.00810948788257571,-0.020558471652282,-0.00193516675930249,0.00781663890872189,"GBR","EUR",0.870527263756776,-1.61165449984793,0.870527263756776,-1.61165449984793
"664","HG00120",-0.0170231742409144,-0.00563876366960359,-0.00774927490911728,-0.00120298933537482,-0.0278863023267292,0.00159781598649763,-0.0302407207760334,"GBR","EUR",3.17285350504512,-2.45128652253601,3.17285350504512,-2.45128652253601
"665","HG00121",-0.0166404396932122,-0.00391251876935335,-0.0105036816869471,0.00125824580217252,-0.0194122579751897,0.00284872449564367,-0.0160778426071214,"GBR","EUR",2.06746769826848,-2.93474699188336,2.06746769826848,-2.93474699188336
"666","HG00122",-0.0171125157713145,-0.00208952734847034,-0.00666063061732571,-0.000373637202178919,-0.0247388680510023,0.00310421461370339,-0.00333441747592958,"GBR","EUR",1.34413777082254,-2.0016669336301,1.34413777082254,-2.0016669336301
"667","HG00123",-0.0167423905991028,-0.0030661280405121,-0.0100282026881227,-0.00238761067050097,-0.0160506068958358,-0.0219693583271166,0.0225033736390926,"GBR","EUR",1.80137551235529,-3.08038589896873,1.80137551235529,-3.08038589896873
"668","HG00125",-0.0166483576057264,-0.00447894214898217,-0.0080706096816541,0.00598545291358194,-0.0233301856333205,-0.0298896348745282,-0.00286615580484657,"GBR","EUR",2.47032870288147,-2.59181079796581,2.47032870288147,-2.59181079796581
"669","HG00126",-0.0169332942195409,-0.00158412051383069,-0.0073818017632795,0.00994110484851277,-0.0205815973298486,0.00143624505828093,0.00832364048467838,"GBR","EUR",0.977375625746992,-2.0953648735643,0.977375625746992,-2.0953648735643
